timestamp,temperature,humidity,co2,vibration,energy_usage,temp_status,hum_status,co2_status,vib_status,energy_status
2025-04-26 13:05:45,28.632,25,692.672,3.19659,614.586,yellow,red,green,green,green
2025-04-26 13:05:46,27.2549,32.2405,580.714,2.88344,801.267,yellow,red,green,green,yellow
2025-04-26 13:05:47,27.6223,56.3466,751.734,3.85216,734.354,yellow,green,yellow,green,green
2025-04-26 13:05:48,26.5365,56.3889,662.466,1.99846,641.008,green,green,green,green,green
2025-04-26 13:05:49,25.7801,51.3972,464.284,3.02363,571.845,green,green,green,green,green
2025-04-26 13:05:50,23.4046,45.9246,601.885,2.92356,564.467,green,green,green,green,green
2025-04-26 13:05:51,23.8727,51.8122,584.974,1.70988,478.154,green,green,green,green,green
2025-04-26 13:05:52,25.6633,66.4709,519.898,2.55596,530.975,green,green,green,green,green
2025-04-26 13:05:53,22.6277,52.8157,776.296,1.41226,628.321,green,green,yellow,green,green
2025-04-26 13:05:54,27.393,37.0869,658.37,1.52701,881.156,yellow,yellow,green,green,yellow
2025-04-26 13:05:55,26.3847,60.8639,1200,2.58696,560.084,green,green,red,green,green
2025-04-26 13:05:56,29.1414,47.1976,923.895,4.24767,702.787,yellow,green,yellow,green,green
2025-04-26 13:05:57,23.7963,57.6919,523.141,2.79706,528.71,green,green,green,green,green
2025-04-26 13:05:58,23.6697,34.3814,443.628,-0.055768,370.087,green,red,green,green,green
2025-04-26 13:05:59,26.555,45.8441,542.729,2.57079,479.725,green,green,green,green,green
2025-04-26 13:06:00,19.2422,45.1512,525.274,2.21553,639.436,green,green,green,green,green
2025-04-26 13:06:01,26.2941,56.2781,655.013,2.72217,715.456,green,green,green,green,green
2025-04-26 13:06:02,24.2393,54.6989,493.539,2.59584,740.012,green,green,green,green,green
2025-04-26 13:06:03,25.5607,40.894,642.126,4.03593,781.054,green,yellow,green,green,green
2025-04-26 13:06:04,24.8887,44.2986,802.285,5.41009,643.558,green,yellow,yellow,yellow,green
2025-04-26 13:06:05,23.5923,46.4577,499.931,2.11085,1200,green,green,green,green,red
2025-04-26 13:06:06,23.1069,38.5962,581.322,4.69637,694.503,green,yellow,green,green,green
2025-04-26 13:06:07,26.2256,59.262,536.562,1.01919,540.609,green,green,green,green,green
2025-04-26 13:06:08,24.7267,63.2963,665.355,3.6701,837.647,green,green,green,green,yellow
2025-04-26 13:06:09,22.4227,40.5536,563.788,4.35896,420.036,green,yellow,green,green,green
2025-04-26 13:06:10,22.5821,44.4855,579.087,2.308,863.52,green,yellow,green,green,yellow
2025-04-26 13:06:11,24.9342,40.0272,556.324,3.10584,856.869,green,yellow,green,green,yellow
2025-04-26 13:06:12,25.3091,47.3772,582.58,1.17578,761.458,green,green,green,green,green
2025-04-26 13:06:13,23.4097,50.4576,666.826,4.49143,782.409,green,green,green,green,green
2025-04-26 13:06:14,24.0938,62.591,719.153,3.23779,811.445,green,green,yellow,green,yellow
2025-04-26 13:06:15,33,45.3065,494.636,4.12822,756.283,red,green,green,green,green
2025-04-26 13:06:16,26.5882,44.4372,409.861,3.80012,749.43,green,yellow,green,green,green
2025-04-26 13:06:17,27.331,49.7958,607.654,3.49393,618.376,yellow,green,green,green,green
2025-04-26 13:06:18,24.8485,59.5634,529.325,2.45902,882.425,green,green,green,green,yellow
2025-04-26 13:06:19,24.953,58.4617,624.731,1.59336,580.263,green,green,green,green,green
2025-04-26 13:06:20,24.7448,43.231,535.913,5.01832,781.971,green,yellow,green,yellow,green
2025-04-26 13:06:21,21.244,45.9729,588.983,2.07024,876.647,green,green,green,green,yellow
2025-04-26 13:06:22,29.3389,54.0071,554.101,0.135251,718.882,yellow,green,green,green,green
2025-04-26 13:06:23,27.7563,60.9717,618.381,4.40817,665.508,yellow,green,green,green,green
2025-04-26 13:06:24,23.2651,50.8528,763.513,5.4009,842.527,green,green,yellow,yellow,yellow
2025-04-26 13:06:25,26.7152,42.9081,413.274,3.9179,1200,green,yellow,green,green,red
2025-04-26 13:06:26,24.9504,55.7191,594.557,3.08913,770.223,green,green,green,green,green
2025-04-26 13:06:27,22.7194,51.8521,451.466,4.90181,610.708,green,green,green,green,green
2025-04-26 13:06:28,23.0735,49.7151,477.232,-0.122757,863.13,green,green,green,green,yellow
2025-04-26 13:06:29,27.6113,35.8858,500.57,0.903521,740.337,yellow,yellow,green,green,green
2025-04-26 13:06:30,29.625,37.8791,737.489,3.88713,852.936,yellow,yellow,yellow,green,yellow
2025-04-26 13:06:31,23.3043,51.6014,464.217,3.87057,693.752,green,green,green,green,green
2025-04-26 13:06:32,21.9124,53.1993,485.65,-2.30723,951.325,green,green,green,green,yellow
2025-04-26 13:06:33,25.3919,47.4554,481.148,3.30175,411.211,green,green,green,green,green
2025-04-26 13:06:34,24.1543,52.3127,677.875,3.40406,732.993,green,green,green,green,green
