temperature,humidity,co2,vibration,energy_usage,label
28.632,25.0,692.672,3.19659,614.586,risk
27.2549,32.2405,580.714,2.88344,801.267,risk
27.6223,56.3466,751.734,3.85216,734.354,warning
26.5365,56.3889,662.466,1.99846,641.008,safe
25.7801,51.3972,464.284,3.02363,571.845,safe
23.4046,45.9246,601.885,2.92356,564.467,safe
23.8727,51.8122,584.974,1.70988,478.154,safe
25.6633,66.4709,519.898,2.55596,530.975,safe
22.6277,52.8157,776.296,1.41226,628.321,warning
27.393,37.0869,658.37,1.52701,881.156,warning
26.3847,60.8639,1200.0,2.58696,560.084,risk
29.1414,47.1976,923.895,4.24767,702.787,warning
23.7963,57.6919,523.141,2.79706,528.71,safe
23.6697,34.3814,443.628,-0.055768,370.087,risk
26.555,45.8441,542.729,2.57079,479.725,safe
19.2422,45.1512,525.274,2.21553,639.436,safe
26.2941,56.2781,655.013,2.72217,715.456,safe
24.2393,54.6989,493.539,2.59584,740.012,safe
25.5607,40.894,642.126,4.03593,781.054,warning
24.8887,44.2986,802.285,5.41009,643.558,warning
23.5923,46.4577,499.931,2.11085,1200.0,risk
23.1069,38.5962,581.322,4.69637,694.503,warning
26.2256,59.262,536.562,1.01919,540.609,safe
24.7267,63.2963,665.355,3.6701,837.647,warning
22.4227,40.5536,563.788,4.35896,420.036,warning
22.5821,44.4855,579.087,2.308,863.52,warning
24.9342,40.0272,556.324,3.10584,856.869,warning
25.3091,47.3772,582.58,1.17578,761.458,safe
23.4097,50.4576,666.826,4.49143,782.409,safe
24.0938,62.591,719.153,3.23779,811.445,warning
33.0,45.3065,494.636,4.12822,756.283,risk
26.5882,44.4372,409.861,3.80012,749.43,warning
27.331,49.7958,607.654,3.49393,618.376,warning
24.8485,59.5634,529.325,2.45902,882.425,warning
24.953,58.4617,624.731,1.59336,580.263,safe
24.7448,43.231,535.913,5.01832,781.971,warning
21.244,45.9729,588.983,2.07024,876.647,warning
29.3389,54.0071,554.101,0.135251,718.882,warning
27.7563,60.9717,618.381,4.40817,665.508,warning
23.2651,50.8528,763.513,5.4009,842.527,warning
26.7152,42.9081,413.274,3.9179,1200.0,risk
24.9504,55.7191,594.557,3.08913,770.223,safe
22.7194,51.8521,451.466,4.90181,610.708,safe
23.0735,49.7151,477.232,-0.122757,863.13,warning
27.6113,35.8858,500.57,0.903521,740.337,warning
29.625,37.8791,737.489,3.88713,852.936,warning
23.3043,51.6014,464.217,3.87057,693.752,safe
21.9124,53.1993,485.65,-2.30723,951.325,warning
25.3919,47.4554,481.148,3.30175,411.211,safe
24.1543,52.3127,677.875,3.40406,732.993,safe
