temperature,humidity,co2,vibration,energy_usage,label
27.3667,25.0,418.298,3.67311,391.597,risk
26.4233,40.2555,734.12,3.13077,548.3,warning
23.8214,41.7013,715.987,3.76317,705.584,warning
24.4969,30.6897,870.422,4.69132,753.979,risk
23.7879,41.5361,530.771,2.49106,805.403,warning
28.7993,44.9205,555.677,2.5353,374.809,warning
27.0205,60.3849,539.878,3.20879,772.703,warning
27.2757,54.1306,481.299,1.43523,757.695,warning
26.0934,49.8971,529.104,2.33991,662.032,safe
26.7681,60.2146,611.582,2.59769,714.014,safe
24.8457,50.864,1200.0,3.53911,628.32,risk
26.1218,55.8087,613.445,3.01306,876.685,warning
23.8303,56.3205,392.626,2.17279,635.864,safe
22.097,46.8235,607.037,1.01997,677.195,safe
23.1736,37.0933,838.946,4.39938,470.945,warning
24.2122,70.5578,481.736,1.70644,651.762,safe
26.5833,58.3276,640.434,5.5199,737.9,warning
27.1023,55.8984,370.996,4.13737,816.96,warning
23.035,36.4189,794.996,2.82641,1084.69,risk
25.7323,46.7941,595.751,4.53773,735.985,safe
24.4078,44.6445,572.771,3.41006,1200.0,risk
24.3729,48.2538,501.284,0.617201,681.788,safe
27.5397,55.8306,445.899,3.74934,777.297,warning
25.1156,48.7962,701.731,2.60377,651.366,warning
24.4717,47.6461,603.572,2.37161,873.14,warning
28.4429,52.4252,491.042,4.09399,612.377,warning
23.9357,55.5323,725.341,-1.15847,747.106,warning
29.1311,42.6684,468.815,2.04977,777.625,warning
24.6573,50.9839,436.615,2.43793,553.794,safe
24.8563,48.3808,511.445,4.10398,672.643,safe
33.0,49.5488,629.183,0.833853,492.636,risk
27.5425,42.5793,560.782,2.78355,764.123,warning
21.7714,33.9738,504.057,3.0554,587.238,risk
26.0717,53.7089,492.598,-0.258561,815.974,warning
23.3599,59.6425,667.906,5.18831,767.718,warning
20.4043,45.6817,623.078,2.67817,500.919,safe
27.2223,61.9241,410.959,4.34845,808.763,warning
25.3891,57.4992,551.376,1.84972,710.581,safe
27.8883,58.098,700.862,2.39032,692.704,warning
26.6636,43.7334,582.065,3.26007,661.065,warning
24.8655,48.9928,471.027,3.89666,1200.0,risk
24.1279,45.5268,625.365,1.1825,664.275,safe
24.3911,48.8057,691.947,2.53364,383.487,safe
27.5904,57.9695,672.043,4.794,807.435,warning
25.0361,48.205,271.782,6.30114,735.109,warning
26.8099,38.8452,772.358,3.39586,609.455,warning
25.34,40.3372,643.614,2.93893,452.783,warning
25.0795,53.7444,556.218,3.43989,715.875,safe
25.229,38.8557,501.387,2.78466,675.875,warning
23.5483,44.652,751.434,2.83583,742.972,warning
